Time,V1,V2,V3,V4,V5,V6,V7,V8,Amount,Class
0,-1.3598071336738,-0.0727811733098497,2.53634673796914,1.37815522427443,-0.338320769942518,0.462387777762292,0.239598554061257,0.0986979012610507,149.62,0
0,1.19185711131486,0.26615071205963,0.16648011335321,0.448154078460911,0.0600176492822243,-0.0823608088155687,-0.0788029833323113,0.085101655647602,2.69,0
1,-1.35835406159823,-1.34016307473609,1.77320934263119,0.379779593034328,-0.503198133318193,1.80049938079263,0.791460956450422,0.247675786588991,378.66,0
1,-0.966271711572087,-0.185226008082898,1.79299333957872,-0.863291275036453,-0.0103088796030823,1.24720316752486,0.23760893977178,0.377435874652262,123.50,0
2,-1.15823309349523,0.877736754848451,1.54870537424778,0.403033934954505,-0.407193377311653,0.095921462007445,0.592940745385195,-0.270532677192282,69.99,0
2,-0.425965884174716,0.960523044882985,1.14110943907636,-0.168252079590498,0.420987408345509,-0.0297008522798032,0.476200560840193,0.260314069347721,3.67,0
4,1.22965763450793,0.141003507094073,0.0453707743593817,1.20261273726929,0.191880729789737,0.272708016153505,-0.00516777950855708,0.0818768028816453,4.99,0
7,-0.644269442348126,1.41796354547627,1.07444697469538,-0.492199018307016,0.948934106968578,0.428118312428685,1.12063268680563,-3.8072838786638,40.80,0
7,-0.894285513724652,0.286157196750211,-0.113192442098518,-0.271526100501082,2.66940746261943,3.72181661847944,0.370145207838768,0.851084456945162,93.20,0
10,-0.338262499498149,1.11943228908836,1.04369598975975,-0.222187276738576,0.499361120345986,-0.246803696128012,0.651583206348594,0.0695386470459575,3.68,0
12,1.44904849847756,-1.17634946132104,0.91363458223432,-1.37566989845401,-1.97138407096074,-0.62954287600047,-1.42354281780002,-0.450566851949386,7.80,0
14,0.384978352994926,0.616109443086564,-0.874304690023138,-0.094019300448564,2.92457705898497,3.00499680695023,0.201726964143188,0.714588339640462,9.99,0
28,-2.3122265423263,1.95199201064158,-1.60985073229769,3.9979055875468,-0.522187864667764,-1.42654531920595,-2.53738730624579,1.39165724917608,529.00,1
35,1.19186984927514,-0.0736710567993543,1.02239749580529,0.282455088434986,-0.133649895888658,1.72232637484843,1.25657474064543,-0.559834706498117,10.00,1
45,-3.04354318220963,-3.15730712090082,1.08846277931341,-0.550643679897973,2.2337727218397,-1.28618503441085,0.198432916499818,-0.546218437705615,1.00,1
56,1.10024478710786,-0.00522917095440399,1.10133380720396,0.382391993862046,-0.412671248088082,0.688218699620679,0.761465720143777,-0.394264027494397,529.00,1
78,-1.27289084060555,-0.342327696953521,1.10272390564393,-0.997989199680965,0.0773820827782697,-0.823523895831044,0.0637810898866668,-0.403648009781975,0.89,1
102,2.63613396430099,3.60694453041498,-1.67899428895558,0.899093254267041,-0.680099254476977,-0.246571625447095,-0.00837870400523975,0.108499152818459,14.95,1
150,-1.10524178671283,-3.65748988561443,2.48483590875432,-0.119234289684948,-0.208081505350001,0.0282503413244568,-1.22091375948543,-2.23065148082543,0.00,1
180,1.94392488604929,-0.39205459734829,-1.07955944819584,-0.272828313597718,-0.005183748891894,2.09531282553413,-0.229283621782566,-0.148481563637434,215.00,1
200,-0.994983003059781,-1.04986049996507,1.78652049897,1.04325893697577,0.0527022736620939,-1.52866117264143,-0.218498527285029,-1.02406280018485,20.00,0
240,0.751074939010064,-1.3018756696038,3.21050622767374,-0.414823956499218,-0.494956490571024,0.438614299682428,-0.0720682834972754,-0.0717468898944878,58.80,0
300,-1.05727345523894,0.772693558979012,1.23093393629601,-0.422162247523697,-0.672625897716636,-1.52476474753576,0.618018945467508,0.0938742099551782,1.00,1
350,0.00943483994745456,0.0141001591018088,1.18073861040082,0.22064283527665,0.564879987400264,-0.0232827494234494,-0.158617553200038,0.0440453048440576,25.00,0
400,-2.16178425278826,-0.0920047454741671,-1.72009490009785,-0.109305741213618,0.413831862019994,-1.44572649088785,-0.00813519847050025,-1.68528527088284,350.00,1
